idx,name,descr,descr_short,deleted,prioritet,colorid,code_out,tariff_gridid,maxcredit,cost_order_fix,cost_order_perc,descr_user,modemanualcost,cost_order_min,t_order_weight,hot_order,departmentid,descr_voditel,not_calc_without_gps
60 151,K_2.2 333777,K_2.2 ,K_2.2 Фикс,false,1 000,null,null,null,null,null,null,"Фиксированная цена, без учета ожидания и доп. услуг",0,null,1,false,null,null,null
60 192,K_2.2 Доставка_Легковая_Город,K_2.2 ,K_2.2 Дост.,false,100,null,null,null,null,null,null,Доставка,1,null,1,false,null,null,null
60 194,K_2.2 Доставка_Легковая_Загород,K_2.2 ,K_2.2 Дост.,false,100,null,null,null,null,null,null,Доставка,1,null,1,false,null,null,null
60 195,K_2.2 Доставка_Грузовая_город_3_метра,K_2.2 Доставка грузовая 3 метра,K_2.2 Груз.3м.,false,100,null,null,null,null,null,null,Доставка грузовая 3 метра,1,null,1,false,null,null,null
60 196,K_2.2 Доставка_Грузовая_город_4_метра,K_2.2 Доставка грузовая 4 метра,K_2.2 Груз.4м.,false,100,null,null,null,null,null,null,Доставка грузовая 4 метра,1,null,1,false,null,null,null
60 197,K_2.2 Доставка_Грузовая_город_6_метра,K_2.2 Доставка грузовая 6 метров,K_2.2 Груз.6м.,false,100,null,null,null,null,null,null,Доставка грузовая 6 метров,1,null,1,false,null,null,null
60 198,K_2.2 Доставка_Грузовая_загород,K_2.2 Доставка грузовая загород,K_2.2 Груз.3аг.,false,100,null,null,null,null,null,null,Доставка грузовая загород,1,null,1,false,null,null,null
60 202,K_2.2 Доставка_Супер (ЗАЙТИ В ТОЧКУ И ОПЛАТИТЬ!),K_2.2 Доставка_Супер (ЗАЙТИ В ТОЧКУ И ОПЛАТИТЬ!),K_2.2 Дост.,false,100,null,null,null,null,null,null,Доставка_Супер (ЗАЙТИ В ТОЧКУ И ОПЛАТИТЬ!),1,null,1,false,null,null,null
60 203,K_2.2 120 VIP Фиксированный ,K_2.2 120 VIP Фиксированный ,K_2.2 120 VIP,false,10 000,9,null,null,null,null,null,120 VIP Фиксированный ,1,null,1,false,null,null,null
60 227,K_2.2 Стандарт,K_2.2 Стандарт,K_2.2 Фикс,false,1,null,null,null,null,null,null,"Фиксированная цена, без учета ожидания и доп. услуг",1,null,1,false,null,null,null
60 229,K_2.2 Фиксированный_Рейтинговый,K_2.2 Фиксированный_Рейтинговый,K_2.2 ФиксР,false,1,null,null,null,null,null,null,"Фиксированная цена, без учета ожидания и доп. услуг",1,null,1,false,null,null,null
